Application Status,Merit Score,Domicile,Gender,Province,Admission Test,Admission Test 2,SSC,TerminalDegree,Optional Subject 1,Optional Subject 2,Optional Subject 3,Optional Subject 4,Optional Subject 5,Document Verified,English Marks,Offered,Offered1
Application Received,845.304,Bahawalpur,male,Punjab,48,0,672,807,88,80,65,45,73,0,0,0,No
Application Fee Received,898,Bahawalpur,female,Punjab,54,0,910,859,150,47,174,153,147,0,0,0,No
Application Fee Received,825,Bahawalpur,male,Punjab,52,0,776,783,136,138,128,154,40,1,0,1,Yes
Challan Printed,591,Bahawalpur,male,Punjab,51,0,613,550,104,75,42,68,33,0,0,0,No
Application Fee Received,684,Bahawalpur,male,Punjab,54,0,706,635,86,132,88,130,37,0,0,0,No
Challan Printed,963,Bahawalpur,female,Punjab,57,0,945,911,164,41,42,186,165,0,0,0,No
Application Fee Received,659,Bahawalpur,male,Punjab,50,0,681,614,123,110,70,112,32,1,0,1,Yes
Application Fee Received,727,Bahawalpur,female,Punjab,42,0,843,690,110,39,39,136,129,0,0,0,No
Application Fee Received,632,Bahawalpur,male,Punjab,43,0,507,604,74,50,82,77,81,0,0,0,No
Application Fee Received,729,Bahawalpur,male,Punjab,52,0,862,682,118,35,30,133,123,0,0,0,No
Application Fee Received,732,Bahawalpur,male,Punjab,47,0,666,690,101,40,129,168,96,1,0,0,No
Application Fee Received,596,Bahawalpur,male,Punjab,51,0,698,560,99,85,89,90,28,0,0,0,No
Admission Fee Challan Received,638,Bahawalpur,male,Punjab,42,0,547,601,0,0,0,0,0,1,0,1,Yes
Application Fee Received,903,Bahawalpur,female,Punjab,53,0,902,855,0,0,0,0,0,0,0,0,No
Admission Fee Challan Received,725,Bahawalpur,male,Punjab,42,0,772,688,115,29,38,145,129,1,0,1,Yes
Challan Printed,1001,Bahawalpur,female,Punjab,60,0,916,946,174,40,174,181,171,0,0,0,No
Application Fee Received,705,Bahawalpur,male,Punjab,48,0,818,662,114,136,143,63,36,0,0,0,No
Application Fee Received,525,Bahawalpur,female,Punjab,47,0,652,483,86,71,78,65,29,0,0,0,No
Application Fee Received,531,Bahawalpur,male,Punjab,39,0,578,497,72,83,37,75,82,0,0,0,No
Admission Fee Challan Received,732,Bahawalpur,male,Punjab,40,0,662,697,122,144,109,47,105,1,0,1,Yes
Admission Fee Challan Received,912,Bahawalpur,male,Punjab,53,0,907,864,164,161,161,0,137,1,0,1,Yes
Application Fee Received,571,Bahawalpur,male,Punjab,29,0,574,547,90,0,77,0,98,0,0,0,No
Application Fee Received,909,Bahawalpur,male,Punjab,73,0,924,841,165,152,147,141,40,0,0,0,No
Application Fee Received,684,Bahawalpur,male,Punjab,55,0,845,634,97,116,98,136,34,0,0,0,No
Challan Printed,580,Bahawalpur,male,Punjab,26,0,724,564,113,42,38,102,69,0,0,0,No
Admission Fee Challan Received,830,Bahawalpur,male,Punjab,55,0,861,780,147,141,139,41,142,1,0,1,Yes
Challan Printed,766,Bahawalpur,male,Punjab,57,0,806,714,126,131,42,131,38,0,0,0,No
Application Fee Received,722,Bahawalpur,male,Punjab,50,0,697,677,116,117,106,119,42,0,0,0,No
Admission Fee Challan Received,949,Bahawalpur,male,Punjab,54,0,744,880,0,0,0,0,0,1,0,1,Yes
Challan Printed,521,Bahawalpur,female,Punjab,39,0,686,487,59,33,113,83,74,0,0,0,No
Application Fee Received,528,Bahawalpur,male,Punjab,50,0,657,483,79,25,25,108,66,0,0,0,No
Application Fee Received,572,Bahawalpur,male,Punjab,32,0,582,545,104,82,83,42,108,1,0,0,No
Admission Fee Challan Received,669,Bahawalpur,female,Punjab,51,0,809,623,101,0,0,0,0,1,0,1,Yes
Application Fee Received,784,Bahawalpur,male,Punjab,60,0,590,734,153,44,34,112,110,0,0,0,No
Admission Fee Challan Received,799,Bahawalpur,male,Punjab,62,0,706,742,120,124,112,168,0,1,0,1,Yes
Application Fee Received,990,Bahawalpur,male,Punjab,48,0,1000,947,157,172,175,182,48,1,0,1,Yes
Admission Fee Challan Received,719,Bahawalpur,male,Punjab,56,0,816,668,133,108,102,115,0,1,0,1,Yes
Admission Fee Challan Received,633,Bahawalpur,male,Punjab,41,0,832,597,105,106,41,89,41,1,0,1,Yes
Application Fee Received,612,Bahawalpur,female,Punjab,46,0,673,571,89,44,35,79,107,0,0,0,No
Application Fee Received,596,Bahawalpur,male,Punjab,44,0,641,557,90,99,100,98,29,1,0,0,No
Application Fee Received,891,Bahawalpur,female,Punjab,57,0,850,839,0,0,0,0,0,1,0,1,Yes
Application Fee Received,809,Bahawalpur,male,Punjab,50,0,632,764,124,125,48,148,40,0,0,0,No
Admission Fee Challan Received,648,Bahawalpur,male,Punjab,46,0,758,607,96,79,104,0,0,1,0,1,Yes
Challan Printed,722,Bahawalpur,male,Punjab,61,0,786,666,150,123,92,27,134,0,0,0,No
Application Fee Received,840,Bahawalpur,male,Punjab,52,0,668,793,115,141,154,0,0,0,0,0,No
Application Fee Received,850,Bahawalpur,male,Punjab,44,0,739,811,145,45,146,43,120,1,0,1,Yes
Challan Printed,689,Bahawalpur,male,Punjab,40,0,731,654,91,47,38,110,112,0,0,0,No
Application Fee Received,753,Bahawalpur,female,Punjab,41,0,672,717,152,39,38,118,138,1,0,1,Yes
Application Fee Received,574,Bahawalpur,male,Punjab,40,0,627,519,80,29,40,78,82,1,0,0,No
Challan Printed,567,Bahawalpur,male,Punjab,51,0,716,521,82,102,70,36,106,0,0,0,No
Admission Fee Challan Received,688,Bahawalpur,male,Punjab,50,0,669,643,85,36,37,152,139,1,0,1,Yes
Admission Fee Challan Received,734,Bahawalpur,male,Punjab,53,0,718,666,118,140,94,35,30,1,0,1,Yes
Admission Fee Challan Received,865,Bahawalpur,female,Punjab,51,0,860,819,152,147,138,159,44,1,0,1,Yes
Application Fee Received,853,Bahawalpur,female,Punjab,54,0,876,804,152,143,151,41,41,1,0,1,Yes
Application Fee Received,877,Bahawalpur,female,Punjab,45,0,850,837,180,39,125,172,39,1,0,1,Yes
Application Fee Received,701,Bahawalpur,male,Punjab,41,0,733,665,122,109,41,132,39,0,0,0,No
Challan Printed,995,Bahawalpur,male,Punjab,73,73,853,933,180,177,168,155,0,0,0,0,No
Application Fee Received,885,Bahawalpur,female,Punjab,62,0,856,828,0,0,0,0,0,0,0,0,No
Challan Printed,649,Bahawalpur,male,Punjab,41,0,725,613,125,103,78,0,124,0,0,0,No
Admission Fee Challan Received,764,Bahawalpur,male,Punjab,47,0,689,722,111,40,129,140,130,1,0,1,Yes
Admission Fee Challan Received,1001,OPEN,male,Punjab,73,73,891,935,0,0,0,0,0,1,0,1,Yes
Admission Fee Challan Received,760,Bahawalpur,female,Punjab,61,0,769,684,127,42,115,107,132,1,0,1,Yes
Application Fee Received,920,Bahawalpur,male,Punjab,46,0,914,879,145,179,156,168,0,0,0,0,No
Admission Fee Challan Received,692,Bahawalpur,male,Punjab,44,0,777,653,103,124,108,40,33,1,0,1,Yes
