Application Status,Merit Score,Domicile,Gender,Province,Admission Test,Admission Test 2,SSC,TerminalDegree,Optional Subject 1,Optional Subject 2,Optional Subject 3,Optional Subject 4,Optional Subject 5,Document Verified,English Marks,Offered,Offered1
Application Fee Received,626,Bahawalpur,male,Punjab,83,0,809,538,75,77,107,36,44,0,0,0,No
Application Fee Received,771,Bahawalpur,female,Punjab,43,0,848,733,146,122,136,124,0,1,0,1,Yes
Application Fee Received,586,Bahawalpur,male,Punjab,49,0,564,547,90,93,83,85,0,0,0,0,No
Admission Fee Challan Received,685,Bahawalpur,male,Punjab,45,0,674,645,0,0,0,0,0,1,0,1,Yes
Application Fee Received,844,Bahawalpur,female,Punjab,47,0,814,802,170,135,146,41,28,0,0,0,No
Admission Fee Challan Received,897,Bahawalpur,female,Punjab,52,0,954,830,142,137,147,156,0,1,0,1,Yes
Application Fee Received,583,Bahawalpur,male,Punjab,45,0,665,543,101,94,89,75,43,0,0,0,No
Admission Fee Challan Received,672,Bahawalpur,male,Punjab,55,0,614,622,123,89,104,104,29,1,0,1,Yes
Application Fee Received,797,Bahawalpur,female,Punjab,54,0,826,748,149,122,46,102,44,0,0,0,No
Admission Fee Challan Received,856,Bahawalpur,male,Punjab,60,0,757,806,0,0,0,0,0,1,0,1,Yes
Admission Fee Challan Received,964,Bahawalpur,male,Punjab,43,0,941,926,182,153,170,47,161,1,0,1,Yes
Admission Fee Challan Received,835,Bahawalpur,female,Punjab,44,0,908,796,165,129,162,130,40,1,0,1,Yes
Application Fee Received,730,Bahawalpur,male,Punjab,47,0,846,688,143,101,102,131,37,0,0,0,No
Application Fee Received,667,Bahawalpur,female,Punjab,47,0,825,625,140,102,79,117,0,0,0,0,No
Application Fee Received,1026,Bahawalpur,male,Punjab,74,74,939,971,150,182,178,0,0,1,0,1,Yes
Application Fee Received,674,Bahawalpur,female,Punjab,46,0,903,633,126,108,94,106,35,1,0,0,No
Application Fee Received,911,Bahawalpur,female,Punjab,57,0,919,859,164,165,133,161,39,0,0,0,No
Application Fee Received,804,Bahawalpur,male,Punjab,54,0,837,755,123,160,135,134,42,0,0,0,No
Application Fee Received,874,Bahawalpur,male,Punjab,48,0,839,831,165,43,172,0,161,1,0,1,Yes
Admission Fee Challan Received,641,Bahawalpur,male,Punjab,47,0,749,599,108,97,95,99,0,1,0,1,Yes
Admission Fee Challan Received,961,Bahawalpur,male,Punjab,60,0,844,886,41,46,167,180,178,1,0,0,No
Application Fee Received,666,Bahawalpur,female,Punjab,53,0,726,618,0,0,0,0,0,0,0,0,No
Admission Fee Challan Received,702,Bahawalpur,male,Punjab,52,0,729,635,126,135,90,72,32,1,0,1,Yes
Admission Fee Challan Received,674,Bahawalpur,male,Punjab,54,0,706,625,111,91,99,99,0,1,0,1,Yes
Admission Fee Challan Received,623,Bahawalpur,male,Punjab,44,0,792,584,121,91,84,66,0,1,0,1,Yes
Application Fee Received,847,Bahawalpur,male,Punjab,51,0,872,801,133,156,118,177,34,1,0,1,Yes
Application Fee Received,637,Bahawalpur,male,Punjab,29,0,819,613,117,45,47,97,79,0,0,0,No
Application Fee Received,548,Bahawalpur,male,Punjab,49,0,603,504,0,0,0,0,0,1,0,0,No
Application Fee Received,595,Bahawalpur,male,Punjab,58,0,778,542,98,46,35,81,82,1,0,0,No
Application Fee Received,745,Bahawalpur,male,Punjab,43,0,594,712,128,121,147,98,0,1,0,1,Yes
Application Fee Received,898,Bahawalpur,male,Punjab,52,0,861,851,147,161,148,179,0,1,0,1,Yes
Application Fee Received,568,Bahawalpur,male,Punjab,48,0,489,505,99,101,69,32,71,1,0,0,No
Application Fee Received,730,Bahawalpur,male,Punjab,56,0,752,684,107,38,118,44,144,0,0,0,No
Admission Fee Challan Received,813,Bahawalpur,male,Punjab,49,12,714,769,130,107,144,173,44,1,0,1,Yes
Admission Fee Challan Received,949,Bahawalpur,female,Punjab,52,0,886,902,165,147,186,35,172,1,0,1,Yes
Admission Fee Challan Received,709,Bahawalpur,male,Punjab,53,0,808,661,124,40,94,38,134,1,0,1,Yes
Challan Printed,676,Bahawalpur,male,Punjab,53,0,754,628,117,110,100,43,104,0,0,0,No
Application Fee Received,714,Bahawalpur,female,Punjab,52,0,756,647,123,121,83,114,0,1,0,1,Yes
Challan Printed,599,Bahawalpur,female,Punjab,40,0,587,544,137,35,88,35,60,0,0,0,No
Admission Fee Challan Received,967,Bahawalpur,male,Punjab,55,0,984,917,177,158,164,157,48,1,0,1,Yes
Admission Fee Challan Received,902,Bahawalpur,male,Punjab,55,55,758,864,145,148,167,146,45,1,0,1,Yes
Admission Fee Challan Received,652,Bahawalpur,male,Punjab,51,0,821,606,101,34,82,148,93,1,0,1,Yes
Admission Fee Challan Received,980,Bahawalpur,female,Punjab,53,0,922,932,158,170,38,158,183,1,0,1,Yes
Admission Fee Challan Received,949,Bahawalpur,male,Punjab,60,0,860,874,158,43,44,175,153,1,0,0,No
Admission Fee Challan Received,725,Bahawalpur,male,Punjab,42,0,756,688,120,94,136,135,34,1,0,1,Yes
Application Fee Received,670,Bahawalpur,female,Punjab,52,0,789,623,99,112,94,134,33,1,0,1,Yes
Application Fee Received,773,Bahawalpur,male,Punjab,58,0,713,720,125,47,38,149,118,1,0,1,Yes
Application Fee Received,746,Bahawalpur,female,Punjab,48,0,819,703,102,42,45,146,132,0,0,0,No
Application Fee Received,866,Bahawalpur,male,Punjab,56,21,940,815,158,146,143,116,0,1,0,1,Yes
Application Fee Received,963,Bahawalpur,female,Punjab,61,0,918,907,0,0,0,0,0,1,0,1,Yes
Admission Fee Challan Received,702,Bahawalpur,male,Punjab,46,0,750,661,125,92,111,127,0,1,0,1,Yes
Admission Fee Challan Received,708,Bahawalpur,male,Punjab,44,0,649,679,144,136,80,108,0,1,0,1,Yes
Application Fee Received,606,Bahawalpur,female,Punjab,35,0,667,576,86,106,72,128,0,0,0,0,No
Admission Fee Challan Received,796,Bahawalpur,male,Punjab,48,21,748,753,125,161,142,48,129,1,0,1,Yes
Application Fee Received,655,Bahawalpur,female,Punjab,41,0,542,619,140,38,31,119,76,1,0,1,Yes
Application Fee Received,614,Bahawalpur,male,Punjab,59,0,686,565,115,73,84,81,0,1,0,0,No
Application Fee Received,723,Bahawalpur,male,Punjab,44,0,881,684,120,123,123,107,0,0,0,0,No
Challan Printed,983,Bahawalpur,female,Punjab,69,69,922,930,165,46,185,47,153,0,0,0,No
Admission Fee Challan Received,680,Bahawalpur,male,Punjab,47,0,713,643,86,46,122,104,116,1,0,1,Yes
Application Fee Received,817,Bahawalpur,female,Punjab,62,0,798,760,160,117,45,132,47,0,0,0,No
Admission Fee Challan Received,662,Bahawalpur,male,Punjab,44,0,712,623,68,113,164,75,48,1,0,1,Yes
Application Fee Received,589,Bahawalpur,male,Punjab,44,0,660,550,87,100,45,96,77,1,0,0,No
Admission Fee Challan Received,681,Bahawalpur,male,Punjab,44,0,805,642,118,112,105,40,117,1,0,1,Yes
Application Fee Received,832,Bahawalpur,male,Punjab,61,0,882,776,141,123,136,157,0,0,0,0,No
Application Fee Received,636,Bahawalpur,male,Punjab,44,0,504,597,106,78,106,108,35,0,0,0,No
Application Fee Received,742,Bahawalpur,female,Punjab,56,0,670,691,110,110,103,132,42,0,0,0,No
Admission Fee Challan Received,653,Bahawalpur,female,Punjab,52,0,823,606,130,100,65,95,38,1,0,1,Yes
Application Fee Received,579,Bahawalpur,male,Punjab,41,0,688,543,99,83,96,86,48,1,0,0,No
Admission Fee Challan Received,647,Bahawalpur,male,Punjab,47,0,727,605,86,26,42,117,82,1,0,1,Yes
Application Fee Received,825,Bahawalpur,female,Punjab,47,0,865,783,150,132,133,156,41,0,0,0,No
Application Fee Received,565,Bahawalpur,male,Punjab,48,0,685,527,72,44,85,109,93,1,0,0,No
Application Fee Received,648,Bahawalpur,male,Punjab,45,0,672,618,91,40,41,126,101,0,0,0,No
Admission Fee Challan Received,0,Bahawalpur,male,Punjab,46,0,830,624,0,0,0,0,0,1,0,1,Yes
Application Fee Received,673,Bahawalpur,male,Punjab,42,0,699,636,105,33,41,108,99,0,0,0,No
Admission Fee Challan Received,709,Bahawalpur,male,Punjab,52,0,743,662,118,45,97,105,132,1,0,1,Yes
Application Fee Received,644,Bahawalpur,male,Punjab,46,0,504,598,82,48,108,90,103,0,0,0,No
Admission Fee Challan Received,674,Bahawalpur,male,Punjab,50,0,777,629,103,99,119,115,0,1,0,1,Yes
Admission Fee Challan Received,691,Bahawalpur,male,Punjab,50,0,658,646,102,45,135,81,132,1,0,1,Yes
Application Fee Received,659,Bahawalpur,female,Punjab,37,0,811,627,96,134,97,36,101,0,0,0,No
Admission Fee Challan Received,766,Bahawalpur,female,Punjab,44,0,748,727,152,123,131,0,113,1,0,1,Yes
Admission Fee Challan Received,654,Bahawalpur,male,Punjab,47,0,779,612,111,103,89,44,87,1,0,1,Yes
Admission Fee Challan Received,684,Bahawalpur,male,Punjab,45,0,739,649,136,41,121,39,76,1,0,1,Yes
Application Fee Received,942,Bahawalpur,female,Punjab,60,0,743,892,167,165,173,151,0,0,0,0,No
Admission Fee Challan Received,640,Bahawalpur,male,Punjab,57,0,539,588,100,109,104,41,90,1,0,1,Yes
Application Received,786,Bahawalpur,male,Punjab,54,0,700,737,107,137,125,135,43,0,0,0,No
Application Fee Received,751,Bahawalpur,male,Punjab,45,0,745,711,109,112,115,122,0,1,0,0,No
Application Fee Received,920,Bahawalpur,male,Punjab,64,64,904,873,160,157,179,45,133,0,0,0,No
Application Fee Received,844,Bahawalpur,male,Punjab,47,0,894,802,0,0,0,0,0,1,0,1,Yes
Admission Fee Challan Received,761,Bahawalpur,male,Punjab,40,0,779,726,115,142,126,112,0,1,0,1,Yes
Application Fee Received,765,Bahawalpur,male,Punjab,39,0,658,731,107,113,134,135,0,0,0,0,No
Challan Printed,779,Bahawalpur,male,Punjab,46,0,728,738,151,132,106,120,39,0,0,0,No
Application Fee Received,744,Bahawalpur,male,Punjab,35,0,645,714,128,117,89,123,98,0,0,0,No
Application Fee Received,727,Bahawalpur,male,Punjab,30,0,589,702,87,103,142,137,83,0,0,0,No
Application Fee Received,916,Bahawalpur,male,Punjab,53,0,672,868,171,150,156,148,46,1,0,1,Yes
Challan Printed,789,Bahawalpur,male,Punjab,49,0,748,745,103,136,144,43,134,0,0,0,No
Application Fee Received,581,Bahawalpur,male,Punjab,44,0,704,542,93,87,93,0,0,1,0,0,No
Application Fee Received,879,Bahawalpur,female,Punjab,48,0,644,841,161,160,187,123,0,0,0,0,No
Application Received,782,Bahawalpur,male,Punjab,48,0,620,739,126,129,140,44,119,0,0,0,No
Application Fee Received,779,Bahawalpur,male,Punjab,41,41,657,747,122,128,133,42,129,1,0,1,Yes
Admission Fee Challan Received,945,Bahawalpur,female,Punjab,73,0,912,877,179,147,48,161,140,1,0,1,Yes
Application Fee Received,746,Bahawalpur,male,Punjab,52,0,814,699,123,87,150,107,0,0,0,0,No
Admission Fee Challan Received,928,Bahawalpur,male,Punjab,69,0,917,864,0,0,0,0,0,1,0,1,Yes
Application Fee Received,980,Bahawalpur,male,Punjab,50,0,845,935,182,189,166,143,45,1,0,1,Yes
Application Fee Received,539,Bahawalpur,male,Punjab,44,0,550,515,85,63,34,79,0,0,0,0,No
Application Fee Received,728,Bahawalpur,male,Punjab,50,0,604,688,111,127,152,97,0,0,0,0,No
Admission Fee Challan Received,816,Bahawalpur,male,Punjab,62,0,671,759,155,112,162,112,44,1,0,1,Yes
Admission Fee Challan Received,644,Bahawalpur,male,Punjab,42,0,761,607,0,0,0,0,0,1,0,1,Yes
Application Fee Received,822,Bahawalpur,male,Punjab,50,0,848,777,157,121,148,0,0,1,0,1,Yes
Challan Printed,839,Bahawalpur,male,Punjab,52,0,756,792,160,95,155,0,158,0,0,0,No
Application Fee Received,695,Bahawalpur,male,Punjab,28,0,634,672,111,87,115,49,116,0,0,0,No
Admission Fee Challan Received,693,Bahawalpur,male,Punjab,41,0,830,657,96,98,143,104,46,1,0,1,Yes
Application Fee Received,676,Bahawalpur,male,Punjab,37,0,693,644,111,101,99,112,45,0,0,0,No
Challan Printed,862,Bahawalpur,male,Punjab,62,0,821,810,156,136,147,46,135,0,0,0,No
Application Fee Received,796,Bahawalpur,male,Punjab,43,0,852,763,114,42,147,132,123,0,0,0,No
Application Fee Received,586,Bahawalpur,male,Punjab,42,0,507,549,80,69,78,45,101,1,0,0,No
Application Fee Received,854,Bahawalpur,male,Punjab,47,0,738,812,141,128,154,156,0,1,0,1,Yes
Challan Printed,755,Bahawalpur,male,Punjab,51,0,766,709,122,40,111,110,144,0,0,0,No
Application Fee Received,586,Bahawalpur,male,Punjab,50,0,584,541,88,86,94,102,0,1,0,0,No
Admission Fee Challan Received,741,Bahawalpur,male,Punjab,61,0,841,685,104,98,131,34,136,1,0,1,Yes
Application Received,764,Bahawalpur,male,Punjab,45,0,771,724,125,0,0,0,0,0,0,0,No
Application Fee Received,704,Bahawalpur,female,Punjab,47,0,726,662,133,33,103,34,123,0,0,0,No
Admission Fee Challan Received,750,Bahawalpur,male,Punjab,58,0,718,697,158,135,107,128,37,1,0,1,Yes
Admission Fee Challan Received,709,Bahawalpur,male,Punjab,48,0,724,666,105,112,97,121,46,1,0,1,Yes
Application Fee Received,874,Bahawalpur,male,Punjab,45,0,544,834,149,148,43,141,41,0,0,0,No
Challan Printed,900,Bahawalpur,male,Punjab,50,0,860,855,171,141,154,0,161,0,0,0,No
Application Fee Received,724,Bahawalpur,male,Punjab,39,0,872,690,0,0,0,0,0,0,0,0,No
Challan Printed,821,Bahawalpur,male,Punjab,37,0,831,789,165,170,98,0,148,0,0,0,No
Application Fee Received,648,Bahawalpur,male,Punjab,40,0,553,613,88,84,114,114,0,1,0,0,No
Admission Fee Challan Received,774,Bahawalpur,male,Punjab,61,0,788,718,127,127,108,118,0,1,0,1,Yes
Application Fee Received,604,Bahawalpur,male,Punjab,46,0,597,573,122,36,37,78,77,0,0,0,No
Application Fee Received,942,Bahawalpur,male,Punjab,49,0,849,898,154,47,49,145,165,1,0,1,Yes
Admission Fee Challan Received,766,Bahawalpur,male,Punjab,42,0,811,729,125,147,110,117,0,1,0,1,Yes
Admission Fee Challan Received,725,Bahawalpur,male,Punjab,45,0,837,685,113,120,123,115,44,1,0,1,Yes
Application Fee Received,600,Bahawalpur,male,Punjab,53,0,583,552,126,23,88,95,67,1,0,0,No
Challan Printed,531,Bahawalpur,male,Punjab,55,0,508,481,71,57,101,69,0,0,0,0,No
Challan Printed,619,Bahawalpur,male,Punjab,47,0,749,577,128,70,87,43,85,0,0,0,No
Application Received,686,Bahawalpur,male,Punjab,0,0,721,696,0,0,0,0,0,0,0,0,No
Application Fee Received,806,Bahawalpur,female,Punjab,46,0,828,770,132,46,129,152,130,0,0,0,No
Admission Fee Challan Received,700,Bahawalpur,male,Punjab,60,0,721,645,100,107,91,0,125,1,0,1,Yes
Application Fee Received,637,Bahawalpur,male,Punjab,30,0,613,622,97,80,133,43,110,1,0,0,No
Application Fee Received,874,Bahawalpur,male,Punjab,52,23,746,827,0,0,0,0,0,0,0,0,No
Admission Fee Challan Received,735,Bahawalpur,male,Punjab,48,0,759,692,86,151,106,0,134,1,0,1,Yes
Application Fee Received,635,Bahawalpur,male,Punjab,50,0,638,570,78,68,121,0,83,1,0,1,Yes
Admission Fee Challan Received,919,Bahawalpur,female,Punjab,52,0,936,872,134,171,173,0,163,1,0,1,Yes
Application Fee Received,591,Bahawalpur,male,Punjab,41,0,563,560,104,75,81,77,44,0,0,0,No
Admission Fee Challan Received,923,Bahawalpur,male,Punjab,67,0,913,861,172,43,126,43,155,1,0,1,Yes
Application Fee Received,780,Bahawalpur,male,Punjab,37,0,754,748,130,112,147,117,0,0,0,0,No
Admission Fee Challan Received,718,Bahawalpur,male,Punjab,50,0,733,678,121,148,82,30,43,1,0,1,Yes
Admission Fee Challan Received,851,Bahawalpur,male,Punjab,49,0,849,807,0,0,0,0,0,1,0,1,Yes
Application Fee Received,535,Bahawalpur,male,Punjab,45,0,615,495,89,40,64,36,93,1,0,0,No
Application Fee Received,753,Bahawalpur,male,Punjab,48,0,863,710,0,0,0,0,0,0,0,0,No
Application Fee Received,566,Bahawalpur,male,Punjab,44,0,643,527,81,77,71,44,88,0,0,0,No
Application Fee Received,576,Bahawalpur,male,Punjab,50,0,642,531,83,108,83,27,94,1,0,0,No
Application Fee Received,779,Bahawalpur,female,Punjab,46,0,844,738,148,48,99,45,149,0,0,0,No
Admission Fee Challan Received,709,Bahawalpur,male,Punjab,54,0,806,660,98,85,133,43,44,1,0,1,Yes
Application Fee Received,769,Bahawalpur,male,Punjab,56,0,728,698,137,113,140,103,34,1,0,1,Yes
Application Fee Received,671,Bahawalpur,male,Punjab,50,0,826,626,94,81,119,43,47,0,0,0,No
Admission Fee Challan Received,929,OPEN,male,Punjab,52,0,746,882,154,142,151,172,0,1,0,1,Yes
Challan Printed,916,OPEN,male,Punjab,82,82,793,921,173,141,192,46,180,0,0,0,No
Challan Printed,715,OPEN,male,Punjab,24,0,592,696,106,141,103,125,0,0,0,0,No
Admission Fee Challan Received,684,OPEN,male,Punjab,52,0,719,637,113,90,104,44,92,1,0,0,No
Challan Printed,658,OPEN,male,Punjab,0,0,695,663,0,0,0,0,0,0,0,0,No
Application Fee Received,727,OPEN,male,Punjab,43,0,581,689,118,37,39,127,120,0,0,0,No
Application Received,993,OPEN,female,Punjab,81,81,912,944,178,171,184,42,179,0,0,0,No
Application Fee Received,929,OPEN,male,Punjab,39,0,753,895,154,155,158,166,45,0,0,0,No
Application Fee Received,797,OPEN,male,Punjab,36,0,699,766,151,0,0,0,0,0,0,0,No
Application Fee Received,929,OPEN,male,Punjab,38,0,722,896,162,162,171,156,45,0,0,0,No
Application Fee Received,817,OPEN,female,Punjab,41,0,918,781,122,138,127,158,48,1,0,1,Yes
Admission Fee Challan Received,761,OPEN,male,Punjab,44,0,749,727,150,131,90,145,42,1,0,1,Yes
Application Fee Received,861,OPEN,male,Punjab,30,0,813,836,147,140,150,163,47,0,0,0,No
Application Fee Received,737,OPEN,male,Punjab,40,0,823,702,109,42,42,122,108,0,0,0,No
Application Fee Received,575,OPEN,male,Punjab,41,0,607,524,81,80,61,101,37,0,0,0,No
Application Fee Received,866,OPEN,male,Punjab,32,0,845,839,141,159,127,174,0,0,0,0,No
Application Fee Received,904,OPEN,male,Punjab,35,0,710,874,150,45,173,145,166,0,0,0,No
Application Fee Received,660,OPEN,male,Punjab,32,0,826,633,108,145,94,75,0,0,0,0,No
Challan Printed,906,OPEN,male,Punjab,42,0,870,869,138,43,164,157,44,0,0,0,No
Challan Printed,989,OPEN,female,Punjab,80,80,902,925,171,164,179,46,161,0,0,0,No
Application Fee Received,788,OPEN,female,Punjab,49,0,921,744,156,126,128,130,0,0,0,0,No
Application Received,584,OPEN,female,Punjab,0,0,623,589,88,110,82,100,0,0,0,0,No
Application Fee Received,821,OPEN,male,Punjab,44,0,796,782,0,0,0,0,0,0,0,0,No
Admission Fee Challan Received,751,OPEN,male,Punjab,46,0,764,690,108,117,132,119,0,1,0,1,Yes
Application Fee Received,792,OPEN,male,Punjab,47,0,859,750,135,137,124,42,146,0,0,0,No
Challan Printed,663,OPEN,male,Punjab,50,0,655,618,0,0,0,0,0,0,0,0,No
Application Fee Received,898,OPEN,male,Punjab,47,0,820,856,0,0,0,0,0,0,0,0,No
Challan Printed,897,OPEN,male,Punjab,54,0,865,848,0,0,0,0,0,0,0,0,No
Application Fee Received,745,OPEN,female,Punjab,50,0,884,705,124,131,147,41,83,0,0,0,No
Admission Fee Challan Received,695,Bahawalpur,male,Punjab,49,0,568,651,131,34,45,88,128,1,0,1,Yes
Application Fee Received,647,OPEN,male,Punjab,44,0,684,608,100,43,103,94,83,0,0,0,No
Application Fee Received,956,OPEN,male,Punjab,46,0,766,915,151,171,165,42,187,0,0,0,No
Admission Fee Challan Received,903.286,OPEN,male,Punjab,60,60,973,864,141,126,150,36,179,1,0,1,Yes
Challan Printed,669,OPEN,male,Punjab,32,32,733,679,0,0,0,0,0,0,0,0,No
Application Received,812,OPEN,male,Punjab,44,0,848,773,145,46,125,151,122,0,0,0,No
Admission Fee Challan Received,778,OPEN,male,Punjab,58,0,810,725,0,0,0,0,0,1,0,1,Yes
Challan Printed,607,OPEN,male,Punjab,44,0,673,568,0,0,0,0,0,0,0,0,No
Application Fee Received,742,OPEN,male,Punjab,39,0,822,688,156,117,99,108,32,0,0,0,No
Application Fee Received,1016,OPEN,male,Punjab,85,85,971,948,171,165,183,48,167,1,0,1,Yes
Application Fee Received,656,Bahawalpur,female,Punjab,56,0,790,605,0,0,0,0,0,0,0,0,No
Application Fee Received,694,OPEN,male,Punjab,41,24,835,658,101,0,0,0,0,0,0,0,No
Admission Fee Challan Received,829,OPEN,male,Punjab,40,40,750,794,110,0,0,0,0,1,0,1,Yes
Application Fee Received,995,OPEN,male,Punjab,70,70,887,938,174,168,180,46,167,0,0,0,No
Admission Fee Challan Received,955,OPEN,female,Punjab,51,0,907,909,170,47,46,171,157,1,0,1,Yes
Application Received,697,OPEN,male,Punjab,41,0,777,661,100,103,113,34,119,0,0,0,No
Application Fee Received,671,OPEN,male,Punjab,43,0,656,633,89,70,121,140,44,0,0,0,No
Application Fee Received,880,OPEN,male,Punjab,48,48,748,885,154,165,160,163,47,0,0,0,No
Application Fee Received,742,OPEN,male,Punjab,43,0,823,704,132,133,108,107,46,1,0,0,No
Application Fee Received,737,OPEN,female,Punjab,43,0,688,699,89,153,91,147,44,1,0,0,No
Application Fee Received,725,OPEN,female,Punjab,46,0,715,689,107,45,46,113,106,0,0,0,No
Application Fee Received,719,OPEN,male,Punjab,53,0,727,671,171,114,104,116,0,0,0,0,No
Admission Fee Challan Received,794,Bahawalpur,male,Punjab,49,0,740,750,137,148,122,122,44,1,0,1,Yes
Application Fee Received,683,OPEN,male,Punjab,42,0,596,646,125,141,79,97,0,0,0,0,No
Application Fee Received,888,OPEN,male,Punjab,65,65,820,893,164,0,0,0,0,0,0,0,No
Application Fee Received,875,OPEN,female,Punjab,44,0,915,836,168,43,157,140,135,0,0,0,No
Application Fee Received,957,OPEN,male,Punjab,57,0,877,905,177,41,41,172,164,0,0,0,No
Application Fee Received,723,OPEN,male,Punjab,48,0,699,680,143,46,112,115,116,0,0,0,No
Application Fee Received,710,OPEN,male,Punjab,50,0,651,665,0,0,0,0,0,0,0,0,No
Admission Fee Challan Received,1027,OPEN,male,Punjab,72,0,959,960,181,183,171,46,185,1,0,1,Yes
Challan Printed,843,OPEN,male,Punjab,52,46,873,796,0,0,0,0,0,0,0,0,No
Admission Fee Challan Received,770,OPEN,male,Punjab,44,0,805,711,123,131,103,45,125,1,0,1,Yes
Application Fee Received,834,OPEN,male,Punjab,52,0,793,787,137,155,127,140,40,0,0,0,No
Application Fee Received,763,OPEN,male,Punjab,33,0,864,735,125,135,103,47,117,1,0,0,No
Application Fee Received,824,OPEN,female,Punjab,58,0,858,771,129,138,45,107,47,0,0,0,No
Admission Fee Challan Received,776,OPEN,male,Punjab,49,0,836,712,111,144,118,108,0,1,0,1,Yes
Admission Fee Challan Received,848,OPEN,male,Punjab,40,0,829,823,177,124,163,47,46,1,0,1,Yes
Application Fee Received,618,OPEN,male,Punjab,48,0,695,575,108,44,38,89,77,0,0,0,No
Admission Fee Challan Received,893,OPEN,male,Punjab,42,0,841,856,159,136,162,173,34,1,0,1,Yes
Application Fee Received,936,OPEN,male,Punjab,63,63,911,951,153,190,43,172,45,0,0,0,No
Application Fee Received,627,OPEN,male,Punjab,46,0,688,586,62,89,111,98,44,0,0,0,No
Admission Fee Challan Received,824,Bahawalpur,male,Punjab,50,0,648,779,144,136,140,40,172,1,0,1,Yes
Application Fee Received,907,OPEN,male,Punjab,62,0,917,850,0,0,0,0,0,1,0,1,Yes
Challan Printed,886,OPEN,male,Punjab,43,43,795,849,162,154,152,145,41,0,0,0,No
Application Fee Received,760,OPEN,male,Punjab,41,0,890,724,97,147,147,43,91,0,0,0,No
Admission Fee Challan Received,792,OPEN,male,Punjab,52,0,861,745,119,142,127,111,46,1,0,1,Yes
Admission Fee Challan Received,811,OPEN,female,Punjab,42,0,743,779,120,119,137,162,0,1,0,1,Yes
Application Fee Received,777,OPEN,male,Punjab,50,0,879,732,139,93,43,128,48,1,0,1,Yes
Application Fee Received,19,OPEN,male,Punjab,49,0,0,0,0,0,0,0,0,0,0,0,No
Application Fee Received,815,OPEN,male,Punjab,32,0,717,788,152,137,36,109,43,0,0,0,No
Admission Fee Challan Received,800,OPEN,male,Punjab,48,0,826,757,146,46,168,115,106,1,0,1,Yes
Challan Printed,540,OPEN,male,Punjab,0,0,621,545,61,82,101,38,43,0,0,0,No
Admission Fee Challan Received,873,OPEN,male,Punjab,44,0,793,834,145,49,41,156,147,1,0,1,Yes
Admission Fee Challan Received,754,OPEN,male,Punjab,44,0,618,715,149,42,37,140,113,1,0,1,Yes
Admission Fee Challan Received,956,OPEN,male,Punjab,42,0,929,899,172,159,167,45,47,1,0,1,Yes
Challan Printed,533,OPEN,male,Punjab,0,0,691,538,68,33,101,76,82,0,0,0,No
Application Fee Received,867,OPEN,male,Punjab,49,0,792,823,163,46,39,160,128,1,0,1,Yes
Admission Fee Challan Received,947,OPEN,male,Punjab,63,0,897,889,164,45,179,158,144,1,0,1,Yes
Application Fee Received,587,OPEN,male,Punjab,37,0,807,555,0,0,0,0,0,0,0,0,No
Application Fee Received,832,OPEN,male,Punjab,50,0,799,787,0,0,0,0,0,0,0,0,No
Application Fee Received,716,OPEN,male,Punjab,57,0,754,664,0,0,0,0,0,0,0,0,No
Application Fee Received,731,OPEN,male,Punjab,31,0,723,690,113,145,96,0,111,0,0,0,No
Admission Fee Challan Received,964,OPEN,male,Punjab,67,0,866,902,179,143,159,47,170,1,0,1,Yes
Admission Fee Challan Received,1024,OPEN,male,Punjab,71,0,955,958,187,150,180,48,185,1,0,1,Yes
Application Fee Received,641,OPEN,male,Punjab,50,0,719,596,73,114,77,113,47,1,0,0,No
Application Fee Received,689,OPEN,male,Punjab,39,0,685,635,0,0,0,0,0,0,0,0,No
Application Fee Received,638,OPEN,male,Punjab,40,0,713,603,0,0,0,0,0,0,0,0,No
Admission Fee Challan Received,961,OPEN,male,Punjab,64,64,909,906,0,0,0,0,0,1,0,1,Yes
Application Fee Received,641,OPEN,male,Punjab,42,0,734,604,121,104,39,106,43,0,0,0,No
Admission Fee Challan Received,895,OPEN,male,Punjab,51,0,759,854,0,0,0,0,0,1,0,1,Yes
Application Fee Received,646,OPEN,male,Punjab,36,0,657,615,0,0,0,0,0,0,0,0,No
Application Fee Received,713,OPEN,male,Punjab,44,0,651,654,0,0,0,0,0,0,0,0,No
Application Fee Received,673,OPEN,male,Punjab,51,0,872,627,101,121,101,76,46,0,0,0,No
Challan Printed,805,OPEN,male,Punjab,45,0,844,765,0,0,0,0,0,0,0,0,No
Application Fee Received,805,OPEN,male,Punjab,51,0,886,759,0,0,0,0,0,1,0,1,Yes
Application Fee Received,652,OPEN,male,Punjab,51,0,557,606,89,112,31,0,75,0,0,0,No
Application Fee Received,694,OPEN,male,Punjab,47,0,767,652,106,125,122,88,0,0,0,0,No
Application Fee Received,713,OPEN,female,Punjab,44,0,706,674,127,132,103,90,47,0,0,0,No
Admission Fee Challan Received,767,OPEN,male,Punjab,52,0,864,720,138,129,110,109,0,1,0,1,Yes
Application Fee Received,931,OPEN,male,Punjab,56,0,847,880,0,0,0,0,0,1,0,1,Yes
Application Fee Received,818,OPEN,male,Punjab,41,13,706,782,0,0,0,0,0,0,0,0,No
Application Fee Received,711,OPEN,male,Punjab,47,0,650,669,0,0,0,0,0,0,0,0,No
